"bitcoin.timestamp","bitcoin.market_cap_by_available_supply","bitcoin.price_btc","bitcoin.price_usd","bitcoin.volume_usd","bitcoin.available_supply","bitcoin.supply_change_in_procent","bitcoin.return_wrt_price_usd.simple","bitcoin.vol.squaredreturns"
2018-10-07,113497772472,1,6557.04,3308840000,17309300,0.000106890389722114,-0.00876340322992708,7.67972361702964e-05
2018-10-08,113924218914,1,6581.04,3345890000,17310975,9.67687890325308e-05,0.00366018813366997,1.33969771738585e-05
2018-10-09,114877634833,1,6635.56,3838680000,17312425,8.37618909390603e-05,0.00828440489649052,6.8631364488996e-05
2018-10-10,113808211224,1,6573.1,3776360000,17314236.9998935,0.00010466470719761,-0.00941292068792987,8.86030758772582e-05
2018-10-11,108816525741,1,6284.12,4680590000,17316111.99993,0.000108292385999409,-0.0439640352345165,0.00193283639410181
2018-10-12,108728870779,1,6278.36,4128520000,17318036.999949,0.000111168143233087,-0.000916596118470059,8.40148444394378e-07
2018-10-13,109208251356,1,6305.39,3382450000,17319824.9998811,0.000103244953918669,0.00430526443211288,1.85353018304162e-05
2018-10-14,109291100778,1,6309.65,3136900000,17321261.9999525,8.29685098673316e-05,0.000675612452203378,4.56452185572262e-07
2018-10-15,114379405601,1,6602.71,5993400000,17323100,0.000106112363380317,0.0464463163566917,0.00215726030310589
2018-10-16,114365225531,1,6601.22,4919870000,17324861.999903,0.000101713890876987,-0.000225664916375212,5.09246544826315e-08
2018-10-17,113296741267,1,6538.9,4077230000,17326574.9999235,9.88752476351884e-05,-0.00944067914718805,8.91264227601512e-05
2018-10-18,113250287947,1,6535.54,3942050000,17328374.9999235,0.00010388665965233,-0.000513847894905828,2.64039659099151e-07
2018-10-19,112168664482,1,6472.5,3753890000,17330036.9999227,9.59120517223244e-05,-0.00964572170011968,9.30399471161597e-05
2018-10-20,112520980992,1,6492.16,3649840000,17331825,0.000103173471427631,0.00303746620316714,9.22620093538259e-06
2018-10-21,113103493776,1,6525.12,3149080000,17333550,9.95278916098297e-05,0.00507689274447953,2.57748399389489e-05
2018-10-22,112328526726,1,6479.71,3558240000,17335424.9998843,0.00010817171809907,-0.00695925898680794,4.8431285645467e-05
2018-10-23,112147133612,1,6468.5,3685870000,17337424.9999227,0.000115370695466854,-0.00173001569514686,2.99295430545447e-06
2018-10-24,112587870982,1,6493.35,3445280000,17338949.999923,8.79600056122865e-05,0.0038416943649997,1.47586155940705e-05
2018-10-25,112195043400,1,6470.13,3498900000,17340461.9999907,8.72025161693379e-05,-0.00357596618078504,1.27875341261183e-05
2018-10-26,112525938258,1,6488.52,3270370000,17342311.999963,0.000106686890596341,0.00284229219505638,8.07862492207844e-06
2018-10-27,112610189263,1,6492.69,3210440000,17344149.999923,0.000105983559745892,0.000642673521850767,4.13029255688069e-07
2018-10-28,112451479272,1,6482.96,3408640000,17345700,8.93673127260186e-05,-0.00149860843502458,2.24582724152683e-06
2018-10-29,112192098097,1,6467.27,3590460000,17347674.9999613,0.000113861069968024,-0.00242019077705236,5.85732339732928e-06
2018-10-30,109861289005,1,6332.3,4245450000,17349350,9.65547278619638e-05,-0.0208697023628208,0.000435544476712729
2018-10-31,109753535236,1,6325.36,3774110000,17351350,0.000115278093991922,-0.00109596828956315,1.20114649172799e-06
2018-11-01,110941432395,1,6393.02,4249370000,17353524.9999218,0.000125350472544694,0.0106966243818536,0.000114417773166465
2018-11-02,110312701892,1,6356.13,3920890000,17355324.9999607,0.000103725326058512,-0.0057703557942882,3.32970059926754e-05
2018-11-03,110590401223,1,6371.47,4028380000,17357124.9998823,0.000103714561474622,0.0024134182277582,5.82458754207554e-06
2018-11-04,110540737671,1,6367.93,3982960000,17358974.9998822,0.000106584471791571,-0.000555601768508662,3.08693325169953e-07
2018-11-05,111674779149,1,6432.68,4277610000,17360536.9999751,8.9982276771261e-05,0.0101681394110802,0.000103391059083162
2018-11-06,111580756086,1,6426.57,4343300000,17362411.9998693,0.000108003565452597,-0.000949837392813069,9.02191072785928e-07
2018-11-07,113513061087,1,6537.26,5181400000,17364011.9999816,9.2153101329373e-05,0.0172238067896251,0.000296659520326336
2018-11-08,112550100376,1,6481.21,4582900000,17365600,9.14535199791899e-05,-0.00857392852663041,7.35122503797668e-05
2018-11-09,111189558001,1,6402.31,4605860000,17367100,8.63776661905735e-05,-0.0121736527592841,0.000148197821503624
2018-11-10,111226667111,1,6403.88,4002410000,17368636.9999126,8.85006657733722e-05,0.000245223989466359,6.01348050097969e-08
2018-11-11,111440933725,1,6415.57,3747160000,17370386.999908,0.000100756322761075,0.00182545581741067,3.33228894131846e-06
2018-11-12,111175172313,1,6399.63,4188420000,17372124.9998828,0.000100055339859573,-0.00248458048154721,6.17314016928534e-06
2018-11-13,110315464314,1,6349.53,4498020000,17373800,9.64188386398668e-05,-0.00782857758964195,6.12866270770442e-05
2018-11-14,110292678602,1,6347.57,4343240000,17375574.9998818,0.000102165322603209,-0.000308684264819559,9.52859753471914e-08
2018-11-15,98338366773,1,5659.07,8323290000,17377124.9998675,8.92056801362617e-05,-0.108466704581438,0.011765026002757
2018-11-16,96554111312,1,5555.92,6641590000,17378600,8.48817127425683e-05,-0.018227376583078,0.000332237257101342
2018-11-17,96463477400,1,5550.15,4822530000,17380336.9999009,9.9950508148261e-05,-0.00103853187230929,1.07854844980224e-06
2018-11-18,97309515146,1,5598.26,4098360000,17382100,0.000101436473821437,0.00866823419186868,7.51382840050813e-05
2018-11-19,91969960605,1,5290.59,4863400000,17383686.9999376,9.1300817370854e-05,-0.0549581477101814,0.00302039799973411
2018-11-20,78025700716,1,4488.05,7910280000,17385211.9998663,8.77259196332414e-05,-0.151691966302435,0.0230104526406991
2018-11-21,80851225181,1,4650.16,7658950000,17386761.9998022,8.91562286302605e-05,0.0361203640779402,0.00130468070112295
2018-11-22,78687116839,1,4525.33,5305870000,17388149.9998895,7.98308556457794e-05,-0.0268442376176303,0.000720613093271799
2018-11-23,76347821528,1,4390.43,5194690000,17389600,8.33901312387031e-05,-0.0298099807085891,0.000888634949846454
2018-11-24,75287924900,1,4329.06,4080460000,17391286.9999492,9.7012004254271e-05,-0.0139781297048353,0.000195388110045198
2018-11-25,64477775655,1,3707.1,5275160000,17393050,0.00010137260404175,-0.143670912392067,0.0206413310675689
2018-11-26,68475316872,1,3936.63,6720970000,17394400,7.76172091725424e-05,0.0619163227320547,0.00383363102065996
2018-11-27,64745836613,1,3721.87,6485470000,17396049.9998657,9.48581075321808e-05,-0.054554276119422,0.00297616904291414
2018-11-28,70062967141,1,4027.16,6400900000,17397611.9997716,8.97904930086124e-05,0.0820259708157458,0.00672825988826558
2018-11-29,75547467285,1,4342.07373047,7246107648,17398936.9998152,7.61598800829155e-05,0.0781974717840861,0.00611484459342294
2018-11-30,73359161609,1,4215.98028867,6027868611,17400261.9998355,7.61540788560833e-05,-0.029039912637861,0.000843316526014598
2018-12-01,69832070156,1,4012.9425287,5811408326,17401711.9997535,8.33320738533594e-05,-0.0481590866341672,0.00231929762543723
2018-12-02,73450148089,1,4220.51197377,5472582702,17403136.9998437,8.18884998323721e-05,0.0517249981990753,0.00267547543869434
2018-12-03,70159929636,1,4031.0967965,5231265377,17404674.9998453,8.8374871818564e-05,-0.0448796682599631,0.00201418462312434
2018-12-04,69802993609,1,4010.26616338,5385663686,17406074.9998119,8.04381562178325e-05,-0.00516748522091715,2.67029035083971e-05
2018-12-05,67335555734,1,3868.12287116,4971453979,17407811.9999862,9.97927547903288e-05,-0.0354448523935867,0.00125633756120315
2018-12-06,67369576356,1,3869.71863556,5499639224,17409424.9997715,9.26595361527838e-05,0.00041254232431398,1.70191169350381e-07
2018-12-07,59393805832,1,3411.28056013,6410907943,17410999.9998759,9.04682437457005e-05,-0.118468064116413,0.0140346822154905
2018-12-08,59736013255,1,3430.62745482,6021375900,17412561.9997215,8.97133907087344e-05,0.00567144635246963,3.21653037289411e-05
2018-12-09,61039471240,1,3505.20296531,5026490702,17413961.9999442,8.04017365572118e-05,0.0217381547463633,0.000472547371776838
2018-12-10,61833772474,1,3550.46660405,4974337932,17415674.9998624,9.8369338249471e-05,0.0129132718384533,0.00016675258957379
2018-12-11,60662243931,1,3482.87060206,4794119342,17417311.999797,9.39957787822188e-05,-0.0190386249269022,0.000362469239107263
2018-12-12,60207436528,1,3456.44308934,4640974061,17418899.9997383,9.11736518978135e-05,-0.00758785373891546,5.75755243631734e-05
2018-12-13,59876936986,1,3437.1882836,4053409321,17420324.9998533,8.180769824917e-05,-0.00557069948566014,3.10326927595341e-05
2018-12-14,57817760857,1,3318.62342494,4331549832,17422211.9998581,0.000108321745136308,-0.0344947232671872,0.00118988593327982
2018-12-15,55927010690,1,3209.75732815,4169115117,17424061.9998006,0.000106186283492349,-0.0328045948123711,0.00107614144080384
2018-12-16,57247453635,1,3285.24064444,3807009974,17425649.9997608,9.11383327364401e-05,0.023516829645656,0.000553041276582807
2018-12-17,57308540682,1,3288.44673901,3785917551,17427236.9998162,9.10726460958688e-05,0.000975908591483554,9.52397578931415e-07
2018-12-18,61197267744,1,3511.18193524,6011010267,17429249.9997774,0.000115508841772805,0.0677326451992515,0.00458771122568769
2018-12-19,66581925999,1,3819.74218344,6450980182,17430999.9998579,0.000100405931443337,0.087879310696815,0.00772277324854734
2018-12-20,71658841341,1,4110.59912355,8077865979,17432699.9999732,9.75274003385262e-05,0.0761456994063558,0.0057981675380831
